Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
6,819226.0265350342,12,10,3607,1047,1420,0,300.5833333333333,534.0009292353735,517,0,104.7,214.54864768211013,5680.971855452852,26.8546155607999,39010.76316833496,80651.95539882507,207775.11596679688,0.0,611450.9105682373,55586.446415294304,92515.64075813838,202430.00984191895,0.0,622957.9448699951,69217.54942999946,102190.49768761112,207822.08442687988,100.13580322265625,6,3,0,0,248,208,14.647972124072671,12.206643436727227,0,1420,211.54545454545453,423.1570379751219,179061.87878787876,2,2,2,9,19,0,0,0,0.2902689215414472,211.54545454545453,300.5833333333333,104.7,0,0,0,0,0,0,12,3607,10,1047,42600,64240,7,0,0,0,0,0,0,0,0,0
6,160214.90097045898,1,2,171,101,171,171,171.0,0.0,101,0,50.5,71.4177848998413,1697.7197398770816,18.724850072173695,80107.45048522949,40540.54782044684,108773.94676208496,51440.95420837402,0.0,0.0,0.0,0.0,0.0,160214.90097045898,160214.90097045898,0.0,160214.90097045898,160214.90097045898,1,1,0,0,20,40,6.241616690724564,12.483233381449129,0,171,90.66666666666667,85.9670479505568,7390.333333333333,0,0,0,2,3,0,0,0,0.5906432748538012,90.66666666666667,171.0,50.5,0,0,0,0,0,0,1,171,2,101,7788,65320,1,171,0,0,0,0,0,0,0,0
17,92978.00064086914,1,1,188,29,188,188,188.0,0.0,29,29,29.0,0.0,2333.885419177492,21.51046469288011,92978.00064086914,0.0,92978.00064086914,92978.00064086914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,10.755232346440055,10.755232346440055,29,188,108.5,112.42997820866105,12640.5,0,0,0,0,0,0,0,0,0.15425531914893617,108.5,188.0,29.0,0,0,0,0,0,0,1,188,1,29,0,0,1,188,0,0,0,0,0,0,0,0
17,122605.0853729248,1,1,101,42,101,101,101.0,0.0,42,42,42.0,0.0,1166.3464004371474,16.312537069051015,122605.0853729248,0.0,122605.0853729248,122605.0853729248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,8.156268534525507,8.156268534525507,42,101,71.5,41.71930009000631,1740.5000000000002,0,0,0,0,0,0,0,0,0.4158415841584158,71.5,101.0,42.0,0,0,0,0,0,0,1,101,1,42,0,0,1,101,0,0,0,0,0,0,0,0
6,60641829.96749878,20,21,13594,5754,1420,0,679.7,671.6715284313183,1420,0,274.0,527.978313948594,319.05369627482605,0.6761009689512026,1516045.7491874695,9489032.748618461,60029021.978378296,0.0,519364.8338317871,27334.991254304583,59100.81184079237,218529.93965148926,0.0,60641829.96749878,3032091.498374939,13415879.766837072,60029021.978378296,0.0,7,5,0,0,408,428,0.32980535070790373,0.3462956182432989,0,1420,471.9024390243902,629.1462788922004,395825.04024390236,0,2,1,12,40,0,0,0,0.4232749742533471,471.9024390243902,679.7,274.0,0,0,0,0,0,0,20,13594,21,5754,65320,65535,15,0,0,0,0,0,0,0,0,0
6,114282.84645080566,5,4,63,56,39,0,12.6,18.04993074778959,56,0,14.0,28.0,1041.2761293202902,78.75197616708078,14285.355806350708,40226.99858160103,113842.01049804688,0.0,114282.84645080566,28570.711612701416,57028.109009827705,114112.85400390625,0.0,341.8922424316406,113.96408081054688,36.71104217767315,152.82630920410156,79.87022399902344,2,1,0,0,100,80,43.75109787060043,35.000878296480344,0,56,13.222222222222221,21.387950917384405,457.4444444444444,2,0,2,3,7,0,0,0,0.8888888888888888,13.222222222222221,12.6,14.0,0,0,0,0,0,0,5,63,4,56,65535,65257,2,0,0,0,0,0,0,0,0,0
17,191784.85870361328,1,1,58,42,58,58,58.0,0.0,42,42,42.0,0.0,521.4175961332862,10.428351922665724,191784.85870361328,0.0,191784.85870361328,191784.85870361328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,5.214175961332862,5.214175961332862,42,58,50.0,11.313708498984761,128.00000000000003,0,0,0,0,0,0,0,0,0.7241379310344828,50.0,58.0,42.0,0,0,0,0,0,0,1,58,1,42,0,0,1,58,0,0,0,0,0,0,0,0
6,15011672.973632812,0,5,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.3330741356264707,3752918.243408203,3098952.6588343666,8009036.064147949,1002774.9538421631,0.0,0.0,0.0,0.0,0.0,15011672.973632812,3752918.243408203,3098952.6588343666,8009036.064147949,1002774.9538421631,0,0,0,0,0,140,0.0,0.3330741356264707,0,0,0.0,0.0,0.0,0,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5,0,-1,64240,0,0,0,0,0,0,0,0,0,0
17,51096302.0324707,3,3,327,183,109,109,109.0,0.0,61,61,61.0,0.0,9.98115283716432,0.11742532749605084,10219260.40649414,13964197.799005514,27760451.078414917,93453.88412475586,51002848.14834595,25501424.074172974,3328822.4957749355,27855257.034301758,23147591.11404419,51002834.08164978,25501417.04082489,3326920.3242079415,27853904.962539673,23148929.119110107,0,0,0,0,24,24,0.05871266374802542,0.05871266374802542,61,109,85.0,26.290682760247975,691.2,0,0,0,0,0,0,0,0,0.5596330275229358,85.0,109.0,61.0,0,0,0,0,0,0,3,327,3,183,0,0,3,109,0,0,0,0,0,0,0,0
17,3249.8836517333984,1,1,178,50,178,178,178.0,0.0,50,50,50.0,0.0,70156.35771403418,615.4066466143349,3249.8836517333984,0.0,3249.8836517333984,3249.8836517333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,307.70332330716747,307.70332330716747,50,178,114.0,90.50966799187809,8192.000000000002,0,0,0,0,0,0,0,0,0.2808988764044944,114.0,178.0,50.0,0,0,0,0,0,0,1,178,1,50,0,0,1,178,0,0,0,0,0,0,0,0
17,2753.9730072021484,1,1,137,50,137,137,137.0,0.0,50,50,50.0,0.0,67901.90009522985,726.2235304302658,2753.9730072021484,0.0,2753.9730072021484,2753.9730072021484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,363.1117652151329,363.1117652151329,50,137,93.5,61.518289963229634,3784.5,0,0,0,0,0,0,0,0,0.36496350364963503,93.5,137.0,50.0,0,0,0,0,0,0,1,137,1,50,0,0,1,137,0,0,0,0,0,0,0,0
6,46025988.817214966,15,14,6128,3400,1420,0,408.53333333333336,605.6954523127782,1420,0,242.85714285714286,419.72314265896335,207.01347749070564,0.6300788042853132,1643785.3149005345,8497303.108301366,44999820.947647095,0.0,45831497.90763855,3273678.421974182,12066170.250325667,45195299.86381531,0.0,45830509.90104675,3525423.838542058,12514281.23656894,45174546.003341675,0.0,5,6,0,0,320,288,0.3259028298027482,0.30417597448256495,0,1420,328.55172413793105,521.8470346626556,272324.32758620684,0,2,0,11,28,0,0,0,0.5548302872062664,328.55172413793105,408.53333333333336,242.85714285714286,0,0,0,0,0,0,15,6128,14,3400,26883,64240,8,0,0,0,0,0,0,0,0,0
17,3491.8785095214844,1,1,128,32,128,128,128.0,0.0,32,32,32.0,0.0,45820.609040010924,572.7576130001365,3491.8785095214844,0.0,3491.8785095214844,3491.8785095214844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,286.37880650006826,286.37880650006826,32,128,80.0,67.88225099390856,4607.999999999999,0,0,0,0,0,0,0,0,0.25,80.0,128.0,32.0,0,0,0,0,0,0,1,128,1,32,0,0,1,128,0,0,0,0,0,0,0,0
17,2794.981002807617,1,1,265,32,265,265,265.0,0.0,32,32,32.0,0.0,106261.90292587221,715.5683698711933,2794.981002807617,0.0,2794.981002807617,2794.981002807617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,357.78418493559667,357.78418493559667,32,265,148.5,164.75588001646557,27144.5,0,0,0,0,0,0,0,0,0.12075471698113208,148.5,265.0,32.0,0,0,0,0,0,0,1,265,1,32,0,0,1,265,0,0,0,0,0,0,0,0
17,192863.94119262695,10,8,5305,3999,1250,24,530.5,565.7013837313424,1250,31,499.875,621.4463400579559,48241.26242814582,93.33004339065185,11344.93771721335,23457.803199272785,81238.0313873291,45.06111145019531,84043.02597045898,9338.113996717664,19922.980065049618,57897.090911865234,45.06111145019531,192863.94119262695,27551.991598946708,39018.18446240771,83261.96670532227,86.06910705566406,0,0,0,0,80,64,51.8500241059177,41.480019284734155,24,1250,516.8888888888889,573.3133717455247,328688.2222222222,0,0,0,0,0,0,0,0,0.7538171536286522,516.8888888888889,530.5,499.875,0,0,0,0,0,0,10,5305,8,3999,0,0,10,24,0,0,0,0,0,0,0,0
6,45153841.972351074,2,2,0,2,0,0,0.0,0.0,1,1,1.0,0.0,0.04429301943397539,0.08858603886795079,15051280.657450357,25936694.720140643,45000396.01325989,76479.91180419922,45076875.92506409,45076875.92506409,0.0,45076875.92506409,45076875.92506409,45077362.060546875,45077362.060546875,0.0,45077362.060546875,45077362.060546875,0,0,0,0,64,40,0.04429301943397539,0.04429301943397539,0,1,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,4,0,0,0,0.0,0.5,0.0,1.0,0,0,0,0,0,0,2,0,2,2,65320,64464,0,0,0,0,0,0,0,0,0,0
6,40654644.01245117,4,6,80,204,40,0,20.0,23.09401076758503,51,0,34.0,26.336286754210434,6.985671794666809,0.24597435896714115,4517182.66805013,13063003.115350833,39349805.83190918,1816.9879913330078,40322660.92300415,13440886.974334717,22721175.164890025,39677039.86167908,319328.06968688965,40368522.16720581,8073704.433441162,17640115.264294818,39628312.826156616,41988.13438415527,2,4,0,0,104,120,0.09838974358685645,0.1475846153802847,0,51,28.4,24.8068091010871,615.3777777777779,0,0,0,6,10,0,0,0,2.55,28.4,20.0,34.0,0,0,0,0,0,0,4,80,6,204,63687,64410,2,0,0,0,0,0,0,0,0,0
6,91800.92811584473,4,3,63,0,39,0,15.75,19.189841062395487,0,0,0.0,0.0,686.2675715053722,76.2519523894858,15300.154685974121,37368.85534624885,91578.96041870117,0.0,91800.92811584473,30600.309371948242,52919.95964346738,91706.99119567871,0.0,190.97328186035156,95.48664093017578,33.2117166265845,118.97087097167969,72.00241088867188,2,0,0,0,80,60,43.57254422256331,32.679408166922485,0,39,9.0,15.968719422671311,254.99999999999997,2,0,0,2,7,0,0,0,0.0,9.0,15.75,0.0,0,0,0,0,0,0,4,63,3,0,40890,64797,2,0,0,0,0,0,0,0,0,0
6,793807.0297241211,11,10,3622,1488,1420,0,329.27272727272725,550.9963867230149,947,0,148.8,323.73850901958235,6437.332763072059,26.45479217700846,39690.351486206055,80395.68846114985,197211.98081970215,0.0,597004.8904418945,59700.48904418945,95060.6850289421,198204.99420166016,0.0,596595.048904419,66288.33876715766,97996.393224997,198297.02377319336,76.05552673339844,6,3,0,0,228,208,13.857272092718716,12.597520084289743,0,1420,243.33333333333334,455.51271478777994,207491.83333333334,2,2,0,9,20,0,0,0,0.4108227498619547,243.33333333333334,329.27272727272725,148.8,0,0,0,0,0,0,11,3622,10,1488,42600,64240,7,0,0,0,0,0,0,0,0,0
6,39549730.06248474,15,11,8741,1215,1420,0,582.7333333333333,662.9022193211849,313,0,110.45454545454545,153.0407551186047,251.73370296764313,0.6574001885454722,1581989.2024993896,4367177.740037438,15000301.837921143,10.013580322265625,39315092.08679199,2808220.863342285,5750444.31198016,15238014.936447144,30.994415283203125,39312016.96395874,3931201.696395874,6433958.450193249,15227122.068405151,46.01478576660156,7,4,0,0,324,220,0.37926933954546477,0.2781308490000075,0,1420,382.9230769230769,558.6361193533353,312074.31384615385,0,0,0,11,26,0,0,0,0.13900011440338633,382.9230769230769,582.7333333333333,110.45454545454545,0,0,0,0,0,0,15,8741,11,1215,63900,63974,9,0,0,0,0,0,0,0,0,0
6,183706.99882507324,4,4,63,56,39,0,15.75,19.189841062395487,56,0,14.0,28.0,647.7706389037056,43.54760597671971,26243.85697501046,69208.92937077042,183194.8757171631,10.967254638671875,183706.99882507324,61235.666275024414,105938.57375702956,183562.9940032959,63.18092346191406,437.9749298095703,145.99164326985678,58.255340876474556,195.98007202148438,82.0159912109375,2,1,0,0,80,80,21.773802988359854,21.773802988359854,0,56,14.875,22.241772154471608,494.6964285714286,2,0,1,3,7,0,0,0,0.8888888888888888,14.875,15.75,14.0,0,0,0,0,0,0,4,63,4,56,65535,65257,2,0,0,0,0,0,0,0,0,0
17,3426.074981689453,1,1,367,41,367,367,367.0,0.0,41,41,41.0,0.0,119086.71064718162,583.7583855254002,3426.074981689453,0.0,3426.074981689453,3426.074981689453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,291.8791927627001,291.8791927627001,41,367,204.0,230.5168106668145,53138.00000000001,0,0,0,0,0,0,0,0,0.11171662125340599,204.0,367.0,41.0,0,0,0,0,0,0,1,367,1,41,0,0,1,367,0,0,0,0,0,0,0,0
6,258614.06326293945,5,5,535,569,268,0,107.0,146.5162107072115,287,0,113.8,155.83709442876557,4268.909378209395,38.66765741131698,28734.895918104383,31978.364714641764,68493.84307861328,51.975250244140625,150682.92617797852,37670.73154449463,40220.68324286818,76128.00598144531,2782.106399536133,258614.06326293945,64653.51581573486,46731.212899105434,111129.9991607666,132.08389282226562,2,2,0,0,108,108,19.33382870565849,19.33382870565849,0,287,110.4,142.6434560558442,20347.155555555557,0,2,0,4,9,0,0,0,1.063551401869159,110.4,107.0,113.8,0,0,0,0,0,0,5,535,5,569,64240,64240,2,0,0,0,0,0,0,0,0,0
17,3345.012664794922,1,1,174,50,174,174,174.0,0.0,50,50,50.0,0.0,66965.36678545973,597.9050605844619,3345.012664794922,0.0,3345.012664794922,3345.012664794922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,298.95253029223096,298.95253029223096,50,174,112.0,87.68124086713189,7688.0,0,0,0,0,0,0,0,0,0.28735632183908044,112.0,174.0,50.0,0,0,0,0,0,0,1,174,1,50,0,0,1,174,0,0,0,0,0,0,0,0
17,2996.9215393066406,1,1,219,50,219,219,219.0,0.0,50,50,50.0,0.0,89758.77295147176,667.3514717581544,2996.9215393066406,0.0,2996.9215393066406,2996.9215393066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,333.6757358790772,333.6757358790772,50,219,134.5,119.50104602052653,14280.5,0,0,0,0,0,0,0,0,0.228310502283105,134.5,219.0,50.0,0,0,0,0,0,0,1,219,1,50,0,0,1,219,0,0,0,0,0,0,0,0
